Country,GDP per capita,Life expectancy,Population (historical estimates),Continent
Afghanistan,3.211566785875866,61.028,29185511.0,Asia
Albania,3.9648709278368073,76.562,2948029.0,Europe
Algeria,4.09994791232929,74.938,35977451.0,Africa
Angola,3.8762562901217477,55.35,23356247.0,Africa
Argentina,4.278296018173203,75.278,40895751.0,South America
Armenia,3.9206872922268166,73.331,2877314.0,Asia
Australia,4.657057989886808,81.944,22154687.0,Oceania
Austria,4.605179473777374,80.622,8409945.0,Europe
Azerbaijan,4.208275685572842,70.938,9032465.0,Asia
Bahrain,4.532215483968251,76.057,1240864.0,Asia
Bangladesh,3.4148411018717653,69.881,147575433.0,Asia
Barbados,4.07752494975262,78.364,282131.0,North America
Belarus,4.234832521029786,70.806,9420576.0,Europe
Belgium,4.5767941569406965,80.072,10938735.0,Europe
Benin,3.2682656168263096,59.318,9199254.0,Africa
Bolivia,3.7111117084689447,68.007,10048597.0,South America
Bosnia and Herzegovina,3.9533951903809412,76.031,3705478.0,Europe
Botswana,4.0984612284276665,60.211,1987106.0,Africa
Brazil,4.152765579683657,73.619,195713637.0,South America
Bulgaria,4.1669171593097625,73.722,7425011.0,Europe
Burkina Faso,3.1226082048931154,57.096,15605211.0,Africa
Burundi,2.855889389827735,57.228,8675606.0,Africa
Cambodia,3.38501376358409,66.56,14312205.0,Asia
Cameroon,3.3838391976848885,55.101,20341236.0,Africa
Canada,4.614996567450853,81.322,34147566.0,North America
Cape Verde,3.7805851668907597,71.062,492644.0,Africa
Central African Republic,2.959189504432621,47.312,4386765.0,Africa
Chad,3.23561284838316,50.89,11952134.0,Africa
Chile,4.276688021862747,78.779,17062531.0,South America
China,3.984906023981134,74.409,1368810604.0,Asia
Colombia,4.048895532375689,75.424,45222699.0,South America
Comoros,3.1561135481859877,61.862,689696.0,Africa
Congo,3.7587728807860863,60.093,4273738.0,Africa
Costa Rica,4.080322334626782,78.769,4577371.0,North America
Cote d'Ivoire,3.407393675107708,52.964,20532944.0,Africa
Croatia,4.2902873261626535,76.797,4328163.0,Europe
Cuba,3.8181064528086965,78.338,11225833.0,North America
Cyprus,4.441382518036737,79.43,1112617.0,Europe
Czechia,4.413675108942541,77.61,10536514.0,Europe
Democratic Republic of Congo,2.8042279184910717,56.909,64563853.0,Africa
Denmark,4.632785137681371,79.416,5554849.0,Europe
Djibouti,3.4054954770702746,60.062,840194.0,Africa
Dominica,3.9429241869593468,74.262,70877.0,North America
Dominican Republic,4.052172814522047,72.046,9695117.0,North America
Ecuador,3.9697518852877267,75.089,15011114.0,South America
Egypt,4.03016607316705,70.349,82761244.0,Africa
El Salvador,3.8663531932243234,71.21,6183877.0,North America
Equatorial Guinea,4.623640985890609,55.622,943640.0,Africa
Estonia,4.316251928741373,75.311,1332103.0,Europe
Eswatini,3.8568950864528397,46.601,1064841.0,Africa
Ethiopia,3.043905533304436,61.627,87639962.0,Africa
Finland,4.575362375444586,80.137,5365784.0,Europe
France,4.5573474893182455,81.508,62879535.0,Europe
Gabon,4.173963792724498,61.4,1624146.0,Africa
Gambia,3.2486418348910844,59.637,1793199.0,Africa
Georgia,3.9265192209837934,71.46,4099095.0,Asia
Germany,4.613943058807202,80.124,80827001.0,Europe
Ghana,3.469238536009428,61.03,24779614.0,Africa
Greece,4.423532005943155,80.542,10887640.0,Europe
Guatemala,3.814677520905688,71.481,14630420.0,North America
Guinea,3.1111603819423332,56.861,10192168.0,Africa
Guinea-Bissau,3.12364665785009,54.628,1522603.0,Africa
Haiti,3.1921631873940677,60.511,9949318.0,North America
Honduras,3.634063132688523,73.317,8317467.0,North America
